Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude
HA1 4YD,Yes,51.58345,-0.357898,513871,188454,TQ138884,"Greater London","Harrow","Headstone South", E09000015,E05000293,England,E11000009,"Harrow West",1981-12-01,,"","",32,15,"Greater London","Harrow","Harrow 021C","Urban major conurbation",London,56
KT3 4QJ,No,51.405265,-0.257476,521300,168800,TQ213688,"Greater London","Kingston upon Thames","Coombe Vale", E09000021,E05000407,England,E11000009,"Richmond Park",1980-01-01,1996-06-01,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 007D","Urban major conurbation",London,18
KT3 4QL,No,51.405388,-0.257845,521274,168813,TQ212688,"Greater London","Kingston upon Thames","Coombe Vale", E09000021,E05000407,England,E11000009,"Richmond Park",2004-01-01,2004-01-01,"","",,,"Greater London","Kingston upon Thames","Kingston upon Thames 007D","Urban major conurbation",London,17
KT3 4QN,Yes,51.405394,-0.25704,521330,168815,TQ213688,"Greater London","Kingston upon Thames","Beverley", E09000021,E05000402,England,E11000009,"Kingston and Surbiton",1980-01-01,,"","",34,17,"Greater London","Kingston upon Thames","Kingston upon Thames 007A","Urban major conurbation",London,17
N1 9QJ,Yes,51.53283,-0.114887,530852,183231,TQ308832,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",94,28,"Greater London","Islington","Islington 019B","Urban major conurbation",London,31
N1 9QL,No,51.532018,-0.118064,530634,183135,TQ306831,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",2002-06-01,2011-10-01,"","",,,"Greater London","Islington","Islington 021B","Urban major conurbation",London,23
N1 9QN,Yes,51.534351,-0.116641,530726,183397,TQ307833,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",14,5,"Greater London","Islington","Islington 019B","Urban major conurbation",London,26
N1 9QP,Yes,51.534479,-0.112872,530987,183418,TQ309834,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",29,16,"Greater London","Islington","Islington 021A","Urban major conurbation",London,37
N1 9QQ,Yes,51.53283,-0.114887,530852,183231,TQ308832,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",102,31,"Greater London","Islington","Islington 019B","Urban major conurbation",London,31
N1 9QR,Yes,51.534429,-0.112543,531010,183413,TQ310834,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",55,26,"Greater London","Islington","Islington 021A","Urban major conurbation",London,38
N1 9QS,Yes,51.538645,-0.103543,531622,183898,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",1994-12-01,,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9QT,Yes,51.532677,-0.112082,531047,183219,TQ310832,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",2004-04-01,,"","",,,"Greater London","Islington","Islington 019B","Urban major conurbation",London,39
N1 9QU,Yes,51.534367,-0.115386,530813,183401,TQ308834,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",88,40,"Greater London","Islington","Islington 019B","Urban major conurbation",London,30
N1 9QW,Yes,51.535332,-0.116687,530720,183506,TQ307835,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",,,"Greater London","Islington","Islington 019B","Urban major conurbation",London,25
N1 9QX,No,51.533723,-0.115614,530799,183329,TQ307833,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1980-01-01,2000-06-01,"","",,,"Greater London","Islington","Islington 021A","Urban major conurbation",London,30
N1 9QY,No,51.533723,-0.115614,530799,183329,TQ307833,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1980-01-01,2000-06-01,"","",,,"Greater London","Islington","Islington 021A","Urban major conurbation",London,30
N1 9QZ,Yes,51.532622,-0.115386,530818,183207,TQ308832,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",2003-01-01,,"","",,,"Greater London","Islington","Islington 019B","Urban major conurbation",London,29
N1 9RA,Yes,51.534572,-0.11581,530783,183423,TQ307834,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",39,18,"Greater London","Islington","Islington 019B","Urban major conurbation",London,28
N1 9RB,Yes,51.534815,-0.120356,530467,183442,TQ304834,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1997-12-01,,"","",15,8,"Greater London","Islington","Islington 021B","Urban major conurbation",London,25
N1 9RD,Yes,51.534429,-0.116998,530701,183405,TQ307834,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",1,1,"Greater London","Islington","Islington 019B","Urban major conurbation",London,25
N1 9RE,Yes,51.533888,-0.118015,530632,183343,TQ306833,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",104,32,"Greater London","Islington","Islington 019D","Urban major conurbation",London,23
N1 9RF,Yes,51.535049,-0.119799,530505,183469,TQ305834,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1998-06-01,,"","",73,40,"Greater London","Islington","Islington 021B","Urban major conurbation",London,25
N1 9RG,Yes,51.534873,-0.117225,530684,183454,TQ306834,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",,,"Greater London","Islington","Islington 019D","Urban major conurbation",London,26
N1 9RH,Yes,51.534237,-0.119068,530558,183380,TQ305833,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",34,16,"Greater London","Islington","Islington 021B","Urban major conurbation",London,24
N1 9RJ,Yes,51.534492,-0.119274,530543,183408,TQ305834,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1995-12-01,,"","",43,18,"Greater London","Islington","Islington 019D","Urban major conurbation",London,25
N1 9RL,Yes,51.534978,-0.118706,530581,183463,TQ305834,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",,,"Greater London","Islington","Islington 019D","Urban major conurbation",London,26
N1 9RN,No,51.532391,-0.120024,530497,183173,TQ304831,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1980-01-01,2007-05-01,"","",,,"Greater London","Islington","Islington 021B","Urban major conurbation",London,22
N1 9RP,No,51.532051,-0.107292,531381,183158,TQ313831,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1998-06-01,2006-09-01,"","",,,"Greater London","Islington","Islington 020A","Urban major conurbation",London,41
N1 9RQ,No,51.534777,-0.11795,530634,183442,TQ306834,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1993-01-01,2004-06-01,"","",,,"Greater London","Islington","Islington 019D","Urban major conurbation",London,27
N1 9RR,Yes,51.534115,-0.119837,530505,183365,TQ305833,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",37,13,"Greater London","Islington","Islington 021B","Urban major conurbation",London,24
N1 9RS,Yes,51.53389,-0.120423,530465,183339,TQ304833,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1994-12-01,,"","",31,21,"Greater London","Islington","Islington 021B","Urban major conurbation",London,24
N1 9RT,Yes,51.534221,-0.120323,530471,183376,TQ304833,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",111,61,"Greater London","Islington","Islington 021B","Urban major conurbation",London,24
N1 9RU,Yes,51.538645,-0.103543,531622,183898,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",1995-07-01,,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9RW,Yes,51.534788,-0.119781,530507,183440,TQ305834,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1998-12-01,,"","",75,40,"Greater London","Islington","Islington 021B","Urban major conurbation",London,25
N1 9RX,No,51.533555,-0.121374,530400,183300,TQ304833,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1995-01-01,1995-12-01,"","",,,"Greater London","Islington","Islington 021B","Urban major conurbation",London,23
N1 9RY,Yes,51.533645,-0.119179,530552,183314,TQ305833,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",17,9,"Greater London","Islington","Islington 021B","Urban major conurbation",London,23
N1 9RZ,Yes,51.533436,-0.121264,530408,183287,TQ304832,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",2013-03-01,,"","",,,"Greater London","Islington","Islington 021B","Urban major conurbation",London,23
N1 9SA,No,51.532465,-0.111182,531110,183197,TQ311831,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",2007-01-01,2007-01-01,"","",,,"Greater London","Islington","Islington 021A","Urban major conurbation",London,40
N1 9SB,Yes,51.533437,-0.11962,530522,183290,TQ305832,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",23,12,"Greater London","Islington","Islington 021B","Urban major conurbation",London,23
N1 9SD,Yes,51.533423,-0.120457,530464,183287,TQ304832,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",23,9,"Greater London","Islington","Islington 021B","Urban major conurbation",London,22
N1 9SE,Yes,51.533106,-0.121969,530360,183249,TQ303832,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",2014-11-01,,"","",,,"Greater London","Islington","Islington 021B","Urban major conurbation",London,22
N1 9SF,No,51.534069,-0.11981,530507,183360,TQ305833,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1980-01-01,2004-08-01,"","",,,"Greater London","Islington","Islington 021B","Urban major conurbation",London,24
N1 9SG,Yes,51.533717,-0.115773,530788,183328,TQ307833,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",2000-06-01,,"","",30,13,"Greater London","Islington","Islington 021A","Urban major conurbation",London,29
N1 9SH,No,51.533122,-0.115163,530832,183263,TQ308832,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1996-06-01,2001-04-01,"","",,,"Greater London","Islington","Islington 019B","Urban major conurbation",London,31
N1 9SJ,Yes,51.533334,-0.122176,530345,183274,TQ303832,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",2005-12-01,,"","",29,16,"Greater London","Camden","Islington 021B","Urban major conurbation",London,22
N1 9SL,Yes,51.533717,-0.115773,530788,183328,TQ307833,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",2000-06-01,,"","",97,48,"Greater London","Islington","Islington 021A","Urban major conurbation",London,29
N1 9SN,Yes,51.533853,-0.11421,530896,183346,TQ308833,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",88,40,"Greater London","Islington","Islington 021A","Urban major conurbation",London,33
N1 9SP,Yes,51.533717,-0.115773,530788,183328,TQ307833,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",2000-12-01,,"","",64,25,"Greater London","Islington","Islington 021A","Urban major conurbation",London,29
N1 9SQ,Yes,51.534417,-0.121843,530365,183395,TQ303833,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",2,1,"Greater London","Islington","Islington 021B","Urban major conurbation",London,23
N1 9SR,Yes,51.533438,-0.121941,530361,183286,TQ303832,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",2006-03-01,,"","",8,6,"Greater London","Islington","Islington 021B","Urban major conurbation",London,22
N1 9SS,Yes,51.534908,-0.113273,530958,183465,TQ309834,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1981-09-01,,"","",60,33,"Greater London","Islington","Islington 021A","Urban major conurbation",London,35
N1 9ST,Yes,51.534095,-0.11247,531016,183376,TQ310833,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1981-06-01,,"","",16,8,"Greater London","Islington","Islington 021A","Urban major conurbation",London,39
N1 9SU,No,51.533532,-0.119933,530500,183300,TQ305833,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1980-01-01,1995-07-01,"","",,,"Greater London","Islington","Islington 021B","Urban major conurbation",London,23
N1 9SW,Yes,51.533869,-0.112378,531023,183351,TQ310833,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",62,35,"Greater London","Islington","Islington 021A","Urban major conurbation",London,39
N1 9SX,Yes,51.534072,-0.119435,530533,183361,TQ305833,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1995-12-01,,"","",47,24,"Greater London","Islington","Islington 021B","Urban major conurbation",London,24
N1 9SY,Yes,51.533309,-0.112777,530997,183288,TQ309832,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1980-01-01,,"","",41,26,"Greater London","Islington","Islington 019B","Urban major conurbation",London,38
N1 9SZ,Yes,51.531668,-0.118121,530631,183096,TQ306830,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",2008-03-01,,"","",22,11,"Greater London","Islington","Islington 021B","Urban major conurbation",London,22
N1 9TA,No,51.530813,-0.118604,530600,183000,TQ306830,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",1980-01-01,1995-07-01,"","",,,"Greater London","Camden","Islington 021D","Urban major conurbation",London,20
N1 9TB,No,51.533114,-0.115178,530831,183262,TQ308832,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1995-12-01,1997-12-01,"","",,,"Greater London","Islington","Islington 019B","Urban major conurbation",London,31
N1 9TD,No,51.530813,-0.118604,530600,183000,TQ306830,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",1980-01-01,1995-07-01,"","",,,"Greater London","Camden","Islington 021D","Urban major conurbation",London,20
N1 9TE,No,51.530813,-0.118604,530600,183000,TQ306830,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",1980-01-01,1995-07-01,"","",,,"Greater London","Camden","Islington 021D","Urban major conurbation",London,20
N1 9TG,No,51.531734,-0.120007,530500,183100,TQ305831,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1982-03-01,1983-12-01,"","",,,"Greater London","Islington","Islington 021B","Urban major conurbation",London,21
N1 9TH,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2001-12-01,2009-08-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9TJ,No,51.533413,-0.121539,530389,183284,TQ303832,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1983-01-01,1997-12-01,"","",,,"Greater London","Islington","Islington 021B","Urban major conurbation",London,23
N1 9TL,No,51.534069,-0.11981,530507,183360,TQ305833,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1999-06-01,2000-10-01,"","",,,"Greater London","Islington","Islington 021B","Urban major conurbation",London,24
N1 9TN,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2006-09-01,2007-10-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9TP,Yes,51.532517,-0.106595,531428,183211,TQ314832,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1981-09-01,,"","",,,"Greater London","Islington","Islington 020A","Urban major conurbation",London,42
N1 9TR,Yes,51.532103,-0.106598,531429,183165,TQ314831,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1983-07-01,,"","",,,"Greater London","Islington","Islington 020A","Urban major conurbation",London,41
N1 9TS,No,51.531746,-0.112913,530992,183114,TQ309831,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1983-03-01,2008-12-01,"","",,,"Greater London","Islington","Islington 021A","Urban major conurbation",London,37
N1 9TT,Yes,51.531665,-0.112888,530994,183105,TQ309831,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1986-04-01,,"","",,,"Greater London","Islington","Islington 021A","Urban major conurbation",London,37
N1 9TU,No,51.532424,-0.107003,531400,183200,TQ314832,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1990-02-01,1995-07-01,"","",,,"Greater London","Islington","Islington 020A","Urban major conurbation",London,42
N1 9TW,No,51.533416,-0.112729,531000,183300,TQ310833,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1993-01-01,1995-07-01,"","",,,"Greater London","Islington","Islington 019B","Urban major conurbation",London,38
N1 9TX,Yes,51.534259,-0.11317,530967,183393,TQ309833,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1981-09-01,,"","",32,13,"Greater London","Islington","Islington 021A","Urban major conurbation",London,36
N1 9TY,Yes,51.53436,-0.114377,530883,183402,TQ308834,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1983-01-01,,"","",94,41,"Greater London","Islington","Islington 021A","Urban major conurbation",London,32
N1 9TZ,Yes,51.534338,-0.113599,530937,183401,TQ309834,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1983-01-01,,"","",65,48,"Greater London","Islington","Islington 021A","Urban major conurbation",London,35
N1 9UA,Yes,51.533699,-0.120849,530436,183317,TQ304833,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1992-08-01,,"","",51,37,"Greater London","Islington","Islington 021B","Urban major conurbation",London,24
N1 9UB,No,51.539915,-0.125438,530100,184000,TQ301840,"Greater London","Camden","St Pancras and Somers Town", E09000007,E05000143,England,E11000009,"Holborn and St Pancras",1991-09-01,1995-07-01,"","",,,"Greater London","Camden","Camden 022B","Urban major conurbation",London,27
N1 9UD,No,51.533578,-0.122815,530300,183300,TQ303833,"Greater London","Camden","St Pancras and Somers Town", E09000007,E05000143,England,E11000009,"Holborn and St Pancras",1995-01-01,1996-12-01,"","",,,"Greater London","Camden","Camden 022B","Urban major conurbation",London,20
N1 9UE,No,51.533578,-0.122815,530300,183300,TQ303833,"Greater London","Camden","St Pancras and Somers Town", E09000007,E05000143,England,E11000009,"Holborn and St Pancras",1991-01-01,1995-01-01,"","",,,"Greater London","Camden","Camden 022B","Urban major conurbation",London,20
N1 9UF,No,51.534337,-0.121385,530397,183387,TQ303833,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1990-07-01,1997-12-01,"","",,,"Greater London","Islington","Islington 021B","Urban major conurbation",London,25
N1 9UG,No,51.531661,-0.114906,530854,183101,TQ308831,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1991-09-01,2001-09-01,"","",,,"Greater London","Islington","Islington 019B","Urban major conurbation",London,29
N1 9UH,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2006-08-01,2007-03-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9UJ,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2006-09-01,2007-10-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9UL,Yes,51.533592,-0.111914,531056,183321,TQ310833,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1983-03-01,,"","",15,15,"Greater London","Islington","Islington 019B","Urban major conurbation",London,39
N1 9UN,No,51.53119,-0.119727,530521,183040,TQ305830,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1985-04-01,2013-08-01,"","",,,"Greater London","Islington","Islington 021B","Urban major conurbation",London,20
N1 9UP,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2006-04-01,2007-05-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9UQ,No,51.530859,-0.121485,530400,183000,TQ304830,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1991-09-01,1991-12-01,"","",,,"Greater London","Camden","Islington 021B","Urban major conurbation",London,21
N1 9UR,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2006-03-01,2007-04-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9US,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2005-07-01,2006-08-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9UT,Yes,51.534217,-0.118391,530605,183379,TQ306833,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",2004-08-01,,"","",,,"Greater London","Islington","Islington 019D","Urban major conurbation",London,24
N1 9UU,Yes,51.534623,-0.116745,530718,183427,TQ307834,"Greater London","Islington","Barnsbury", E09000019,E05000366,England,E11000009,"Islington South and Finsbury",1990-02-01,,"","",26,13,"Greater London","Islington","Islington 019B","Urban major conurbation",London,25
N1 9UW,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2005-06-01,2015-06-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9UX,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2007-07-01,2009-06-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9UY,Yes,51.533915,-0.12084,530436,183341,TQ304833,"Greater London","Islington","Caledonian", E09000019,E05000368,England,E11000009,"Islington South and Finsbury",1997-12-01,,"","",10,7,"Greater London","Islington","Islington 021B","Urban major conurbation",London,24
N1 9UZ,Yes,51.530934,-0.117214,530696,183016,TQ306830,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",1997-06-01,,"","",,,"Greater London","Islington","Islington 021D","Urban major conurbation",London,22
N1 9WA,No,51.539277,-0.103676,531611,183968,TQ316839,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2003-03-01,2005-09-01,"","",,,"Greater London","Islington","Islington 017E","Urban major conurbation",London,41
N1 9WB,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",1997-06-01,2007-04-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
N1 9WD,No,51.539277,-0.103676,531611,183968,TQ316839,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2004-06-01,2005-07-01,"","",,,"Greater London","Islington","Islington 017E","Urban major conurbation",London,41
N1 9WE,No,51.538425,-0.103278,531641,183874,TQ316838,"Greater London","Islington","St Mary's", E09000019,E05000379,England,E11000009,"Islington South and Finsbury",2008-01-01,2009-05-01,"","",,,"Greater London","Islington","Islington 020B","Urban major conurbation",London,42
